Non T2D 1	Non T2D 2	Non T2D 3	Non T2D 4	Non T2D 5	Non T2D 6
UBE2D1	1607	6654	3517	1518	998	500
FAM133CP	109	404	179	94	30	30
LINC00844	0	0	0	0	0	0
SLC16A9	2468	7230	4570	581	1126	385
LINC00948	1325	13364	5940	705	1696	420
C10orf40	0	0	0	0	0	0
CDK1	0	1579	301	131	545	64
LOC101928781	0	35	0	1	1	2
MIR548AV	0	0	0	0	0	0
LOC283045	55	11	57	14	5	0
EGR2	356	198	4007	189	183	225
ADO	628	2129	1683	1065	422	146
NRBF2	1885	4925	2683	1441	603	298
MIR1296	0	0	3	2	5	0
JMJD1C-AS1	37	208	31	260	158	69
REEP3	8774	22429	38044	7449	4488	1751
ANXA2P3	646	2272	1521	697	269	172
DNAJC12	12482	23825	9733	4083	5291	1181
SIRT1	864	2139	1223	821	413	169
MYPN	0	0	0	50	0	0
ATOH7	98	153	0	151	10	3
HNRNPH3	4109	20225	10880	5416	2894	926
PBLD	1335	5411	1634	2560	567	117
DNA2	235	1144	300	64	65	7
SNORD98	10	3	53	18	2	1
DDX50	2416	6222	3512	1685	1207	588
DDX21	4502	10675	8959	6658	2225	823
KIAA1279	6776	22204	12529	2982	2720	1315
SRGN	0	1127	1015	20	267	512
SUPV3L1	1150	5272	1463	1669	697	477
HKDC1	430	3231	394	3556	414	538
LOC101928994	0	21	6	44	0	0
TSPAN15	2300	14175	1327	14887	3732	2592
C10orf35	1482	4353	1264	1320	1344	712
NEUROG3	0	0	7	0	0	0
SAR1A	36314	35372	36449	7403	4296	2121
AIFM2	2336	6154	963	2295	777	520
TYSND1	1141	3411	1538	1997	1455	493
NPFFR1	0	0	0	0	0	0
PPA1	5968	26251	16430	10730	4402	1406
EIF4EBP2	7041	16385	6000	16819	2431	1499
NODAL	0	7	56	15	0	43
PALD1	5	288	21	793	117	140
PRF1	2	0	0	11	0	1
TBATA	0	0	0	0	0	0
PCBD1	7179	38987	8532	13688	14029	5215
UNC5B-AS1	55	48	32	71	30	420
SLC29A3	596	960	851	957	260	259
C10orf105	0	0	0	137	1	0
PSAP	323615	804328	188241	229366	129819	68917
MIR7152	0	0	0	0	0	0
CHST3	0	1127	412	104	69	240
SPOCK2	98	208	2	14	52	0
ANAPC16	13254	47964	20712	14834	8028	3740
DDIT4	6042	46513	2847	18691	5820	3760
DNAJB12	4569	13030	3063	5914	3245	1711
MIR4676	1	11	0	4	3	1
OIT3	0	118	0	3	0	0
NUDT13	28	755	236	230	64	27
ECD	2614	10794	4371	2780	1104	563
DNAJC9	1969	3461	2363	1223	617	226
MRPS16	8242	27972	8563	13454	5494	3237
DNAJC9-AS1	0	275	23	30	49	3
ANXA7	40937	100046	44397	16690	13212	5196
MSS51	3	152	618	72	64	9
USP54	464	3242	667	2281	654	394
GLUD1P3	55	1104	162	824	373	75
SYNPO2L	10	18	37	111	52	13
MYOZ1	319	470	257	20	348	90
AGAP5	3	140	34	39	34	10
BMS1P4	182	822	323	323	117	34
NDST2	199	6889	1502	1869	1397	708
FUT11	245	1699	440	1248	645	194
SEC24C	9153	25116	4612	5858	3587	1734
ZSWIM8	814	7478	1318	3495	1977	1334
ZSWIM8-AS1	2	131	79	22	16	6
CHCHD1	3615	10191	4344	6373	3172	1545
PLAU	819	5612	1211	1153	464	784
C10orf55	4	35	86	14	3	11
DUSP13	736	0	50	4	17	167
VDAC2	3642	11433	6847	4339	1709	779
COMTD1	2176	16151	1104	16447	6111	3264
ZNF503-AS2	372	1511	185	713	436	216
LOC101929234	8	119	2	173	106	45
LOC101929328	0	83	0	24	0	0
DLG5-AS1	87	267	63	179	125	88
RPS24	10777	47196	10365	33211	14161	6088
POLR3A	1961	6122	2860	1866	1266	538
LINC00856	0	0	0	0	0	0
LINC00595	0	59	5	6	26	21
PPIF	2714	9159	3984	17499	3811	1647
ZCCHC24	106	175	242	244	133	7
SFTPA1	286	1484	118	932	83	15
SFTPA2	20	407	102	331	17	1
EIF5AL1	1734	3042	294	792	284	137
NUTM2B	0	0	0	6	0	0
BEND3P3	0	149	35	446	43	38
LOC642361	125	413	38	186	83	45
LOC100288974	215	383	90	130	62	6
SFTPD	264	1650	265	255	575	263
MBL1P	157	548	51	48	66	34
TMEM254	3802	9181	2954	2325	1280	756
TMEM254-AS1	104	695	775	113	123	31
PLAC9	42	106	47	37	43	30
MAT1A	980	2963	1026	2777	1806	646
LINC00857	0	129	130	71	27	13
DYDC2	0	49	1	28	29	0
DYDC1	0	0	0	0	0	0
TSPAN14	1186	11619	2761	7635	2171	2818
LOC101929574	41	154	51	83	20	4
LOC102723703	0	0	96	10	6	0
NRG3-AS1	0	0	0	1	0	0
GHITM	48719	116085	69918	31470	10465	5835
CDHR1	145	0	130	56	12	0
C10orf99	0	0	0	0	0	0
LRIT1	0	0	0	0	0	0
RGR	0	0	0	0	0	0
LINC00858	0	0	0	0	0	0
LOC101929624	0	0	0	0	0	0
LOC101929684	0	0	0	0	0	0
LOC101929646	0	0	0	0	0	0
LOC101929662	0	0	0	0	0	0
GRID1-AS1	0	0	0	0	0	0
MIR346	0	0	0	0	0	0
OPN4	0	0	0	19	0	0
MMRN2	0	387	788	5	92	883
SNCG	0	128	169	100	16	261
ADIRF	284	135	576	2015	21	43
FAM25A	0	0	0	2	0	0
GLUD1	2289	7731	5886	3274	2213	873
NUTM2A	0	3	0	3	1	0
NUTM2A-AS1	245	1180	211	781	276	166
LOC439994	8	123	3	192	55	32
LINC00864	0	68	0	5	2	15
MINPP1	2974	9473	2954	3875	1401	617
MIR4678	0	0	0	0	0	0
PAPSS2	18991	67479	21398	12269	11167	2797
KLLN	199	320	463	108	73	42
CFL1P1	108	268	164	126	48	18
LIPF	0	0	1	0	0	0
LIPJ	0	0	0	5	8	5
LIPK	0	0	5	0	0	0
LIPN	0	0	0	0	0	0
STAMBPL1	402	1396	560	154	237	29
ANKRD22	0	0	103	664	0	2
FAS	589	198	826	492	64	63
MIR4679-2	0	0	0	0	0	0
MIR4679-1	0	0	0	0	0	0
FAS-AS1	0	0	0	0	0	0
CH25H	23	0	88	27	46	112
IFIT2	403	3040	4251	1901	416	267
LIPA	7662	23280	10742	3772	2425	1332
IFIT1	476	7907	6931	1543	594	167
IFIT5	3346	6972	6456	881	778	411
IFIT1B	0	12	1	1	3	3
MIR107	0	0	0	0	0	0
FLJ37201	0	78	32	29	6	0
LINC00865	1	1905	35	103	106	22
LINC01375	0	1	0	0	0	0
ANKRD1	2246	22	596	1872	8	139
NUDT9P1	24	81	40	12	29	2
LINC00502	0	0	0	0	0	0
PPP1R3C	517	6256	3877	3142	3027	800
TNKS2-AS1	1	104	98	88	12	0
FGFBP3	258	549	44	507	385	114
MARK2P9	0	135	0	0	18	0
HHEX	1921	6810	3861	2486	560	629
CYP26A1	0	0	0	0	0	0
CYP26C1	0	0	0	0	0	9
CEP55	0	118	0	81	76	17
FFAR4	804	8302	1617	456	875	329
RBP4	80949	417253	68416	50781	65824	59991
FRA10AC1	2467	6111	3397	1606	1249	402
SLC35G1	71	544	88	285	114	69
PIPSL	1589	5172	3330	1438	787	474
LOC101927049	0	20	0	0	3	0
PLCE1-AS1	62	712	203	10	146	25
NOC3L	957	2948	1695	502	421	147
CYP2C8	162	963	1385	605	58	14
ACSM6	0	89	16	1	8	0
PDLIM1	7730	27346	12269	19152	6041	5075
TCTN3	7225	17764	8171	4122	1741	748
C10orf131	23	57	0	10	16	2
CCNJ	580	2154	947	504	216	82
MIR3157	0	26	0	0	0	0
BLNK	965	506	190	1815	85	154
OPALIN	0	0	1	0	0	0
DNTT	0	0	0	0	9	0
C10orf12	650	1059	157	844	158	36
LOC100505540	0	6	0	0	0	0
ARHGAP19	84	554	26	78	106	55
FRAT1	0	106	47	913	58	124
FRAT2	234	208	464	1384	150	159
ZDHHC16	2228	9463	1859	5137	1744	1104
RRP12	1030	3383	637	1861	531	385
EXOSC1	3954	9401	5127	3224	1657	949
PGAM1	1150	3420	1949	918	493	224
UBTD1	604	1960	214	3004	1455	1504
ANKRD2	0	1	33	25	32	0
C10orf62	0	45	0	0	0	0
AVPI1	1546	3178	1021	2136	831	197
PI4K2A	1051	3722	926	2896	1821	1161
MORN4	3800	7197	1869	1135	1494	406
MARVELD1	106	877	487	672	966	404
MIR5692C2	0	0	0	0	0	0
ZFYVE27	5611	13845	2351	5326	2941	1621
SFRP5	0	1581	258	4732	1122	2043
LINC00866	0	108	2	6	39	10
R3HCC1L	1296	4310	3760	798	732	297
HPS1	10842	31967	3320	15643	9190	5440
MIR4685	1	1	0	2	9	0
PYROXD2	298	6161	1926	351	1473	764
MIR1287	0	0	0	1	0	0
CNNM1	1442	7423	2304	5683	2709	766
NKX2-3	6	299	106	8	225	1362
LOC101927324	13	0	25	1	5	0
SLC25A28	1136	1939	1248	712	702	266
COX15	3432	8980	2757	2632	1358	645
CUTC	3895	5346	4468	1482	810	305
CPN1	0	0	0	0	0	0
ERLIN1	1629	6022	2819	1814	971	520
BLOC1S2	5525	15899	7362	4089	1869	938
PKD2L1	0	0	1	1	9	0
CWF19L1	975	3854	985	607	622	273
SNORA12	156	1765	325	983	1033	336
SCD	41938	58094	28249	18162	15430	4786
LINC00263	4639	9085	2634	1572	1904	579
HIF1AN	5361	16320	4713	4360	1985	1052
SEC31B	683	5932	2465	493	630	306
NDUFB8	38603	96629	54516	20001	15835	7820
PAX2	0	0	0	41	0	0
SEMA4G	25	1058	455	1126	261	151
MRPL43	3630	18099	5267	11019	5229	3089
FAM178A	4641	10761	5321	1549	2020	729
C10orf2	67	502	682	473	219	97
MIR608	0	0	0	6	0	0
SFXN3	2595	6367	939	4302	906	875
PDZD7	151	362	5	131	65	43
KAZALD1	58	182	0	75	19	60
TLX1NB	0	0	0	0	0	0
LBX1	0	0	0	0	0	0
LBX1-AS1	0	0	0	0	0	0
LOC101927396	0	1	0	0	0	0
MIR3158-1+MIR3158-2	0	0	0	0	0	0
POLL	828	3936	366	2559	1390	765
DPCD	1473	7256	3569	1742	1484	556
NPM3	173	1166	366	2719	1343	819
FGF8	23	16	2	28	2	0
KCNIP2	0	350	69	36	76	67
KCNIP2-AS1	1	70	168	48	13	3
HPS6	149	2118	1069	2542	1229	709
LDB1	106	3483	311	4752	1564	731
PPRC1	949	4373	858	3206	868	549
NOLC1	3129	10443	5059	4493	2171	1044
PITX3	1	0	0	1	0	0
ELOVL3	144	149	0	0	10	0
FBXL15	4614	16880	1974	7473	6130	3228
PSD	343	1314	196	2258	5523	1743
NFKB2	549	1019	157	1604	790	601
CUEDC2	5971	21531	6552	7139	3992	1985
MIR146B	0	0	0	0	0	0
TMEM180	1642	2803	452	1041	488	380
ACTR1A	11027	35671	5604	11532	5937	3284
C10orf95	75	144	57	152	221	49
RPARP-AS1	3890	8732	7919	951	2032	426
TRIM8	1814	5645	905	5917	1312	884
WBP1L	705	3597	1521	1699	721	427
SFXN2	342	2323	186	612	178	110
C10orf32	3151	6738	6973	1973	875	441
C10orf32-ASMT	0	0	0	0	0	0
AS3MT	1	7	0	5	2	1
PCGF6	395	1627	495	603	187	50
INA	3653	19016	12972	4706	6672	1949
RPEL1	132	672	268	142	78	42
CALHM3	0	0	0	44	4	79
CALHM2	122	2437	738	370	745	473
USMG5	14213	39408	12234	14132	8410	3646
PDCD11	1654	5562	1332	2946	1334	729
MIR1307	0	0	0	0	0	0
TAF5	353	381	341	340	273	113
CALHM1	0	0	0	7	0	0
NEURL1	3410	23957	3483	5808	10795	5447
SFR1	1135	1250	840	285	216	63
COL17A1	0	5	0	22	22	3
MIR936	0	0	0	0	0	0
GSTO1	10261	27166	15466	13094	5669	4434
MIR4482	0	15	3	1	4	0
MIR609	0	0	0	0	0	0
ITPRIP	94	338	975	594	113	454
CCDC147-AS1	82	124	295	15	2	6
LOC101927472	0	0	19	22	16	1
LOC101927523	0	0	0	0	0	0
SORCS3-AS1	0	0	0	0	0	0
RNU6-53P	0	0	0	0	0	0
ADD3-AS1	0	108	0	7	17	5
MXI1	2129	4895	3694	4718	1767	566
SMNDC1	1862	2701	2048	1948	1195	366
DUSP5	788	1091	509	2330	993	556
BBIP1	3020	3317	3717	1458	875	341
PDCD4	21107	57951	28088	14993	5335	2192
PDCD4-AS1	222	488	299	360	249	85
MIR4680	0	0	0	0	0	0
RPL13AP6	489	1660	108	1683	607	385
ADRA2A	413	817	11	4109	409	392
GPAM	355	1237	1117	743	262	49
GUCY2GP	0	0	0	0	0	0
MIR6715B	0	0	0	0	0	0
MIR6715A	0	0	0	0	0	0
TECTB	0	0	0	1	0	0
ZDHHC6	2790	9849	6037	2460	1229	557
MIR4295	0	0	0	0	0	0
LOC103344931	4	633	299	287	197	44
NRAP	0	68	6	6	1	3
PLEKHS1	0	272	305	159	21	14
MIR4483	0	0	0	0	0	0
NHLRC2	913	3864	2227	2058	2022	455
ADRB1	3020	2036	161	112	198	105
TDRD1	0	131	147	20	2	0
MIR2110	0	0	0	0	0	0
CCDC186	2326	13383	7370	5322	2948	995
VWA2	107	522	168	806	67	106
LOC101927692	1	25	11	0	9	0
TRUB1	3422	6302	3348	1517	570	276
LOC102724589	0	0	0	0	0	0
PNLIP	63503	55826	29408	612365	4163	234
PNLIPRP2	4995	41172	5046	136914	1313	203
C10orf82	0	0	0	31	0	0
KCNK18	0	0	0	0	0	0
VAX1	1	1	0	0	0	0
MIR3663	0	0	0	0	0	0
MIR3663HG	0	0	0	0	0	0
PDZD8	747	2893	1372	5568	1330	183
EMX2	1	9	0	2	9	0
FAM204A	5022	9927	4803	3185	1373	782
LINC00867	0	0	0	1	0	0
PRLHR	382	1326	436	334	301	171
EIF3A	5768	28846	13985	13087	5460	2221
SNORA19	48	110	14	57	22	5
NANOS1	959	2822	1986	591	619	202
PRDX3	32798	97086	65178	42471	9515	3921
FAM45A	16	55	10	23	12	8
SFXN4	3948	4816	1669	2333	680	667
MIR4681	0	0	0	0	0	0
TIAL1	4570	8405	13464	2091	1547	628
RGS10	0	743	25	31	294	26
BAG3	417	3747	1575	3932	1482	602
MCMBP	1169	5697	4281	3100	1388	687
SEC23IP	4054	8447	2689	2350	1075	506
MIR4682	0	0	0	0	0	0
C10orf85	0	0	0	0	0	0
WDR11	2038	8115	4469	2773	1105	520
ATE1-AS1	0	19	0	1	39	4
BTBD16	0	280	0	65	82	41
PLEKHA1	3907	19128	5490	5489	2269	1260
MIR3941	0	0	0	1	0	2
ARMS2	0	0	0	5	0	0
C10orf120	0	0	0	16	0	0
CUZD1	0	0	0	0	0	0
FAM24B-CUZD1	0	0	0	4	1	0
FAM24B	153	757	496	436	260	58
IKZF5	2379	8108	1394	1852	599	233
C10orf88	990	2942	2859	627	314	120
PSTK	401	1929	691	539	246	204
FAM24A	0	0	0	0	2	0
HMX2	0	0	0	0	0	0
HMX3	0	0	0	0	0	2
BUB3	8196	20634	18786	6194	2486	1541
NKX1-2	0	0	0	0	0	0
METTL10	1598	4526	1793	717	732	291
FAM53B-AS1	0	1	0	3	5	0
FAM175B	1869	5233	1855	1200	615	205
ZRANB1	1207	4263	3579	2800	1201	461
MIR4296	0	0	0	1	0	0
TEX36-AS1	0	0	0	0	0	0
TEX36	0	0	0	0	0	0
LOC283038	3	384	171	60	71	35
EDRF1	1133	3826	1992	1080	765	175
MMP21	0	34	0	9	19	0
UROS	3177	26608	5324	6415	5275	2410
MIR4484	0	0	0	2	0	0
EDRF1-AS1	1	89	61	6	5	0
FANK1-AS1	0	0	0	0	0	0
LINC00601	0	0	0	0	0	0
NPS	0	0	0	2	0	0
FOXI2	0	0	1	0	0	0
CLRN3	86	101	171	186	0	93
MKI67	0	1752	2	162	1010	50
LINC01163	0	0	0	0	0	0
MIR4297	0	0	0	1	0	0
GLRX3	5981	12855	6818	3743	1335	899
LINC00959	174	1711	824	781	427	202
CTAGE7P	52	112	36	14	7	3
MIR378C	0	0	0	0	0	0
TCERG1L-AS1	14	1	0	5	4	0
LINC01164	0	0	0	0	0	0
BNIP3	9956	29766	10413	8610	4246	1529
PPP2R2D	550	2407	2920	3091	1406	614
DPYSL4	586	1395	424	370	828	255
LRRC27	282	2377	726	808	664	374
C10orf91	0	0	0	0	0	0
NKX6-2	0	0	0	25	0	0
LINC01168	0	0	0	3	0	0
LINC01166	0	382	0	0	0	0
GPR123	0	545	213	99	62	62
LOC100128127	0	0	0	5	1	0
MIR202HG	0	0	0	0	0	0
TUBGCP2	5069	18149	4212	10979	4038	2112
ADAM8	53	164	141	264	173	59
MIR202	0	0	0	0	0	0
UTF1	0	0	0	0	0	0
ZNF511	1371	6672	1821	3707	1217	752
VENTX	1	10	0	6	1	2
PAOX	23	446	488	1052	592	235
PRAP1	0	79	0	19	0	0
MIR3944	0	0	0	0	0	0
ECHS1	15009	45544	10903	20918	8849	4841
MTG1	4387	15263	2661	5889	2206	1275
FUOM	113	1600	374	440	314	189
CALY	412	4121	388	2659	14806	5508
SPRN	221	672	148	449	272	146
CYP2E1	0	818	346	140	48	54
SYCE1	19	339	92	8	0	22
SCART1	0	44	117	78	13	22
SPRNP1	0	0	0	1	0	0
DUX2+DUX4+DUX4L2+DUX4L3+DUX4L5+DUX4L6+DUX4L7	0	0	0	0	0	0
DUX4+DUX4L2+DUX4L3+DUX4L5+DUX4L6+DUX4L7	0	0	0	0	0	0
FRG2B	0	0	0	0	0	0
GLB1L2	399	4156	366	1004	572	341
LOC100130987	28	284	84	352	83	71
GLYATL1	0	10	0	17	0	0
C11orf58	12928	39801	23584	9583	5438	2772
LOC283194	0	0	0	2	6	0
CDON	807	2163	1422	532	295	195
DLG2	305	1255	320	276	135	95
DGAT2	723	930	1111	539	556	203
DSCAML1	1091	1694	365	156	512	176
FAT3	0	1	3	26	0	26
ARHGAP42	170	220	309	413	32	14
OSBPL5	3	175	64	654	114	123
SYT9	178	113	12	57	42	20
CCKBR	856	6007	408	1717	957	271
AMPD3	416	468	757	588	421	281
IPO7	1217	5060	2387	1578	803	241
GALNT18	92	3774	733	557	268	442
PDE3B	1777	10738	4767	1603	2170	499
NAV2	916	5179	875	2323	2416	586
NELL1	0	0	1	0	0	0
SERGEF	3179	10502	4408	2662	2549	643
MPPED2	285	986	117	553	447	62
IMMP1L	2530	8393	3698	851	1276	388
METTL15	854	1774	795	362	265	121
LRRC4C	0	152	81	4	10	8
ARFGAP2	9121	17394	4224	4978	3260	2053
PHF21A	1322	4335	642	2000	1298	363
C11orf49	5393	20103	5282	3989	3544	2352
LOC101927120	0	0	0	0	0	1
STIP1	15106	42108	12037	7513	5214	2467
TMEM151A	162	440	170	711	934	309
LRP5	2422	5392	411	6208	2810	1052
CTTN	35598	73802	22443	19720	8284	5709
PDE2A	527	28	152	126	76	598
RAB6A	8044	24102	8325	8133	2662	1225
TENM4	206	3874	586	588	1055	437
INTS4	923	4668	1942	636	605	347
LOC101928989	0	0	2	13	0	0
TMEM135	1411	6638	2914	1833	710	274
NOX4	0	110	248	15	13	62
EED	1258	3242	3284	975	434	220
DISC1FP1	0	20	0	0	0	0
CNTN5	381	2104	61	389	401	28
PDGFD	206	5852	5793	2340	462	326
ACAT1	14477	40161	24684	10829	3871	1666
C11orf53	267	656	0	520	158	85
RDX	5338	15060	9833	9379	1970	944
CADM1	12003	47051	17196	14138	4624	1555
UBASH3B	2	186	418	39	50	63
GRIK4	0	0	0	18	26	35
PHLDB1	506	1069	904	1957	1259	1697
PVRL1	1306	7022	1471	2606	1837	999
NTM	17	137	32	17	109	88
ARHGAP32	1742	3305	1840	2324	859	226
OPCML	182	280	0	134	10	0
LINC01001	0	1	0	2	0	0
DEAF1	997	6517	1188	5059	3801	1676
BRSK2	26	946	143	837	715	199
TOLLIP	16324	47744	5729	18279	10146	5279
KCNQ1	242	1810	118	6281	577	903
CD81-AS1	0	31	0	73	32	28
NUP98	3343	10366	5195	3329	1639	670
STIM1	1486	9873	1374	6012	2032	1599
ART1	0	0	0	0	0	0
LOC650368	0	7	1	99	9	0
OR51E2	0	1	19	1	19	0
OR51B5	0	0	0	1	2	0
TRIM6-TRIM34	0	0	0	0	0	0
APBB1	7555	31166	4391	4936	7140	2788
DNHD1	719	4132	1066	1551	937	171
NLRP14	0	35	0	0	0	0
PPFIBP2	1173	4198	1123	1441	521	267
LMO1	3230	17896	3863	909	2853	904
TUB	1149	2537	2487	296	395	138
LOC100506258	0	386	171	260	40	7
TMEM41B	6271	12932	4724	2741	1214	506
SCUBE2	170	300	34	192	9	18
ST5	2570	12435	2059	5942	2027	1238
DENND5A	1017	3550	1955	2044	999	507
TRIM66	268	1734	487	637	205	85
STK33	1236	3634	1643	834	763	187
SWAP70	1815	6761	3639	2228	1150	1226
SBF2-AS1	507	1195	383	426	117	65
SBF2	1270	4311	2659	1342	1318	496
CAND1.11	0	0	0	2	1	0
MRVI1	0	4	0	0	22	0
MRVI1-AS1	0	0	0	19	48	7
ZBED5	2865	10097	5401	2718	1545	592
USP47	5474	14841	10220	4140	2075	870
MICAL2	224	1302	1067	989	253	602
MICALCL	1	0	9	51	12	5
PARVA	1990	9702	4321	6892	2182	1593
ARNTL	532	3089	2524	1525	440	200
TEAD1	1605	8573	4310	1890	1668	471
PSMA1	13211	39606	28324	11564	5932	2813
SPON1	616	482	338	116	196	66
INSC	0	238	1	23	64	4
SOX6	1148	4359	3764	1069	1892	810
ABCC8	30258	195950	28598	22712	39000	27769
NUCB2	37414	65982	35902	12887	10206	2315
USH1C	7484	32628	9951	5585	5929	2812
PIK3C2A	1950	6633	6760	1805	1002	281
PLEKHA7	189	1984	345	1285	390	159
GTF2H1	3199	8811	4305	2190	1039	536
IGSF22	671	2105	254	86	329	134
LDHAL6A	1	327	97	9	8	2
PRMT3	1110	2617	1402	913	305	156
GAS2	3756	6953	9520	1128	179	71
ANO5	1986	2642	3477	663	244	64
LUZP2	89	354	58	37	14	2
SLC5A12	0	0	0	3	0	0
ANO3	0	27	204	214	26	3
BBOX1	0	123	0	25	9	0
BDNF-AS	106	571	138	40	56	13
KIF18A	99	580	0	11	21	11
LGR4	1629	4038	2433	3078	351	136
LIN7C	10803	14700	9676	2471	1558	557
DCDC5	299	91	165	33	110	18
DCDC1	7	115	38	41	61	4
RCN1	4610	15918	6469	3470	2854	1519
PAUPAR	0	493	615	111	21	22
ELP4	3209	10145	9188	1252	1815	775
DKFZp686K1684	22	554	230	617	196	45
CSTF3	2323	10290	4655	1891	1674	559
HIPK3	4003	9561	9295	2729	1858	520
CCDC73	111	173	286	124	37	24
CAPRIN1	6706	29429	11398	9640	4603	2242
KIAA1549L	468	2451	1552	145	717	347
CAT	7874	21096	13424	7193	3220	1800
ABTB2	65	290	6	622	7	32
SLC1A2	163	45	77	461	65	64
PDHX	5618	17568	6464	3531	1752	835
PAMR1	23	4214	1248	2075	1078	311
PRR5L	33	348	8	25	34	66
COMMD9	7217	31967	11468	9013	4632	2836
TRIM44	2048	6588	6925	5248	2487	1030
LDLRAD3	1449	4088	653	1447	577	137
LOC103312105	0	0	0	0	0	0
LOC102723644	0	0	0	0	0	0
TTC17	4140	15649	4685	4841	2053	808
HSD17B12	12425	23176	14119	8204	5501	2227
ALKBH3	2447	9573	3546	3333	1201	776
TP53I11	420	5041	521	7435	2398	6463
EXT2	7164	13413	7333	3849	1941	1123
ALX4	0	91	0	38	0	0
TSPAN18	0	0	6	1	0	238
PRDM11	3	276	234	179	85	34
CRY2	3255	14831	2313	3235	2195	692
LOC100507384	0	0	0	0	0	0
ATG13	6234	20060	4035	9551	2495	1995
DGKZ	835	2372	182	2491	1277	638
AMBRA1	415	2079	604	2036	673	487
LRP4	246	384	155	124	1	2
CKAP5	2620	10520	7972	3085	2174	784
PTPRJ	1219	5675	1854	3483	1904	812
NUP160	2001	5089	3875	1550	452	163
MADD	2840	14527	4120	4078	4020	1453
AGBL2	307	342	268	125	110	23
LOC440040	0	0	0	0	0	0
PRG3	0	0	0	0	0	0
CTNND1	88	1301	42	1741	77	47
SLC43A1	1269	4746	1047	15004	1000	871
TMX2-CTNND1	0	0	0	0	0	0
LPXN	381	2067	514	717	220	144
OR9Q1	1	0	0	0	0	0
OSBP	1657	10435	7297	4037	2024	833
MS4A13	0	0	0	0	0	0
LINC00301	0	0	0	0	0	0
TMEM109	6745	22077	2339	14229	6676	4282
MS4A7	1406	1	123	0	180	2
MS4A10	0	3	0	0	0	0
SDHAF2	3063	15823	6748	5894	3619	2189
DAGLA	478	1318	387	2607	883	497
DDB1	12567	33809	10712	11129	6934	3401
FTH1	291176	560241	150266	274489	84053	67226
FADS2	3587	13096	630	10157	5253	2467
SYT7	5032	14789	4153	6363	8227	2652
ASRGL1	2830	8041	2123	3231	968	675
ZBTB3	336	1059	224	434	146	171
SLC3A2	34773	146744	38842	27905	26604	14308
AHNAK	565	2417	686	5353	396	713
RARRES3	521	3537	848	1941	1147	615
ATL3	5005	9415	4919	3091	803	459
SLC22A9	0	1	0	139	11	0
MACROD1	407	2144	185	4601	1685	871
MIR3680-1+MIR3680-2	0	0	0	0	0	0
TM7SF2	5966	20894	2519	26484	6267	2724
NRXN2	91	1	25	141	93	77
FOSL1	239	357	498	74	36	277
PACS1	1318	3983	510	8850	1951	1004
MALAT1	3496161	7853286	3507163	1181021	1097823	262818
SLC25A45	1623	3226	849	2120	544	343
ACTN3	0	7	0	3	0	2
PC	896	4864	514	2994	614	318
C11orf80	493	1863	533	1369	667	310
SPTBN2	435	945	113	1358	673	334
KDM2A	1471	4543	1225	4204	1327	826
NPAS4	5	80	41	424	23	5
UNC93B1	132	636	12	1551	857	722
CPT1A	3202	8132	2275	2867	1104	569
PPP6R3	6523	19735	8661	3945	2584	1337
IGHMBP2	644	3377	310	1278	1235	489
ANO1	120	674	724	265	283	217
PPFIA1	2148	6697	2747	3287	1796	670
CCND1	1411	8682	1925	7504	1611	5160
SHANK2	43	1447	158	2011	181	96
NADSYN1	2067	7409	875	3044	1221	1233
RNF121	660	1228	735	2524	1056	621
CLPB	2257	2602	901	1827	416	295
FCHSD2	790	2174	489	789	463	376
FAM168A	1086	5320	2837	1884	727	385
STARD10	2154	13599	2615	27927	5961	4421
P2RY6	0	413	401	0	111	212
POLD3	808	5834	1816	1274	645	210
MRPL48	2726	8925	6163	2764	1307	895
PPME1	10718	16166	7915	4242	3423	1727
C2CD3	404	2030	1159	757	282	184
PGM2L1	1218	3738	1423	2749	237	382
DNAJB13	0	99	5	7	17	79
XRRA1	144	3373	1441	2325	965	158
MAP6	1075	6274	3531	2292	2659	1452
ARRB1	717	4676	1380	1914	712	428
NEU3	35	90	149	48	32	4
GDPD5	63	759	61	1456	119	206
UVRAG	538	3148	1486	1480	812	385
GUCY2EP	0	0	0	0	0	0
CAPN5	1100	1620	309	4956	577	727
ACER3	589	1495	815	1005	423	116
GDPD4	0	0	0	1	0	3
RSF1	2990	16057	8146	5527	3090	1199
PAK1	6465	9797	5368	4777	1663	637
CLNS1A	4561	14061	11209	5044	3224	1156
GAB2	686	2687	333	1208	286	207
NARS2	4075	8539	6203	2122	721	269
KCTD21-AS1	0	19	6	39	60	53
LOC101928896	7	63	15	8	2	1
PRCP	5894	16669	5696	5689	2289	1057
RAB30	561	2529	1400	613	371	74
FAM181B	0	2	9	86	182	66
SYTL2	141	1615	1182	1276	76	39
PICALM	3382	8013	6391	2167	1357	534
CCDC83	0	0	0	0	0	0
ME3	1130	5302	2281	1774	912	948
CCDC81	0	394	23	6	5	15
PRSS23	10366	45015	15829	13201	3483	2660
TYR	0	7	0	0	0	0
GRM5	0	0	0	0	0	0
NAALAD2	97	640	154	34	35	21
MIR5692A1	0	0	0	0	0	0
TRIM49D2P	0	0	0	0	0	0
SLC36A4	5856	12567	8190	3524	2810	772
KIAA1731	435	4394	1812	1296	789	242
AMOTL1	830	4309	3097	4685	669	701
MAML2	314	1520	627	417	184	137
